Date,Hour,HOV Flow,Ordinary Flow,HOV Travel Time,Ordinary Travel Time,Avg_total_toll,Sigma_2ratio,Sigma_3ratio,Demand,Sigma_o,Sigma_toll,Sigma_pool2,Sigma_pool3
2021-11-22,11,1194.1818181818182,3752.409090909091,7.493812694839182,10.1355244605242,2.3203125,0.11013921963729621,0.7188129694083165,5900.14506495363,0.6491270526222839,0.03758591067675249,0.28345593263392904,0.029831086845620844
2021-11-22,10,1129.7272727272727,3915.9545454545455,6.854384603274762,8.548572382410788,1.4166666666666667,0.11013921963729621,0.7188129694083165,5600.82162454785,0.682447298087028,0.12327262228370978,0.18241496576687918,0.011865092590621828
2021-11-22,9,1014.0454545454544,3625.636363636364,6.70935270304599,8.113478079414431,1.175,0.11013921963729621,0.7188129694083165,5046.499621340324,0.6931377678918235,0.14835620785518178,0.15034101745699957,0.008164972997507507
2021-11-22,8,1074.8636363636365,3785.0,6.867702512637072,8.324175062043132,1.7166666666666666,0.11013921963729621,0.7188129694083165,5379.583561222686,0.7151158025902654,0.09499046641313177,0.17991680741394292,0.009976898105618878
2021-11-22,7,1143.0454545454545,3898.227272727273,6.790203582538188,8.126313081969867,1.3484848484848484,0.11013921963729621,0.7188129694083165,5487.863478205707,0.7083121262230663,0.1316557546129975,0.15186119025270764,0.008170901856616132
2021-11-22,6,978.7272727272727,3504.318181818182,6.301221056297679,7.232035966987746,0.9791666666666666,0.11013921963729621,0.7188129694083165,4752.249077136888,0.7217421609315311,0.1662665999733729,0.1080792841286697,0.003911916746802677
2021-11-22,5,613.3636363636364,2450.909090909091,5.836367336555811,6.322638239689417,0.75,0.11013921963729621,0.7188129694083165,3181.3657075088518,0.7606821100319981,0.1660944060946825,0.07205868464249841,0.0011647697857684563
2021-11-23,19,1207.5,3756.5,8.54061668259619,11.29411105670744,5.113636363636363,0.1101881745708345,0.7115631758768768,5860.449262476745,0.7070582657098877,5.5269967581243645e-05,0.2537502026544221,0.03913620130189159
2021-11-23,18,1352.8181818181818,3846.318181818182,10.130772538010678,13.369013866600564,7.0,0.1101881745708345,0.7115631758768768,6211.894191314574,0.6920913981956116,0.0,0.25342287996775525,0.05448568464433204
2021-11-23,17,1366.7272727272727,3845.136363636364,10.35168888684431,14.629997140447578,7.0,0.1101881745708345,0.7115631758768768,6462.752454098266,0.6443416946937593,0.0,0.26131191312423974,0.09434633241774228
2021-11-23,16,1413.0,4009.272727272728,9.251896440888864,12.38881227075668,7.0,0.1101881745708345,0.7115631758768768,6460.189883928504,0.6957271764543104,0.0,0.2531099389694995,0.0511628582077493
2021-11-23,15,1378.2272727272727,3925.272727272728,9.873790911681562,14.051804510849196,7.0,0.1101881745708345,0.7115631758768768,6548.616745011344,0.6497939313757098,0.0,0.260018490326669,0.09018753179593936
2021-11-23,14,1328.8181818181818,3734.818181818182,9.834530632475548,13.129132271943272,6.791666666666667,0.1101881745708345,0.7115631758768768,6060.398698637501,0.6898618312905307,0.0,0.25372426242097257,0.05641387463901952
2021-11-23,13,1270.909090909091,3659.590909090909,9.240998147132878,14.004295332633998,4.395833333333333,0.1101881745708345,0.7115631758768768,6432.749016664302,0.56308578651895,0.002312319464190731,0.3372191158158694,0.09738274632183706
2021-11-23,12,1204.6818181818182,3557.7727272727275,8.984879006276158,14.265378777337013,3.6041666666666665,0.1101881745708345,0.7115631758768768,6508.334014033781,0.49120413903166416,0.0056470211085800325,0.4030779836080365,0.10007084640463691
2021-11-23,11,1161.2727272727273,3799.181818181818,7.4650161134347695,11.067441943850309,2.2916666666666665,0.1101881745708345,0.7115631758768768,6214.717352839568,0.5672515985918599,0.04467222196790317,0.3413765290420271,0.04669961686200433
2021-11-23,10,1198.409090909091,3907.136363636364,7.265661856952025,10.201288807234176,1.9428571428571428,0.1101881745708345,0.7115631758768768,6091.3167593001135,0.6068609003893225,0.07966715599327673,0.28289457763487946,0.03057730889451936
2021-11-23,9,1053.0454545454545,3671.4545454545455,6.929390791729858,8.635513691991662,1.3541666666666667,0.1101881745708345,0.7115631758768768,5228.603869606285,0.677455749421909,0.13371312206836,0.17684834890473453,0.011982731586242655
2021-11-23,8,1063.090909090909,3883.863636363637,6.655044114551589,7.811205372920249,1.2083333333333333,0.1101881745708345,0.7115631758768768,5334.833875109746,0.7152946790498474,0.14130923805410728,0.1373428796078864,0.006053174964783428
2021-11-23,7,1137.409090909091,3984.090909090909,6.714691187611675,7.840361673852027,1.2142857142857142,0.1101881745708345,0.7115631758768768,5515.635274021473,0.7180468156902544,0.14096902256730104,0.13518978345816782,0.005794349265123086
2021-11-23,6,1017.318181818182,3624.409090909091,6.397253776195706,7.452121272212434,0.9583333333333334,0.1101881745708345,0.7115631758768768,4947.137853832025,0.7103970728917368,0.1677177412157032,0.11713202837415251,0.00475310594387305
2021-11-23,5,626.3636363636364,2491.818181818182,5.768270061389493,6.204339422175277,0.75,0.1101881745708345,0.7115631758768768,3230.2237504428313,0.829291919572522,0.10165282593973556,0.06810809435406665,0.0009471160207462426
2021-11-24,19,1106.0,3812.045454545456,6.761634527742475,7.568169197147037,1.818181818181818,0.11018223863950312,0.7192951938523877,5242.758688365497,0.8772309364579104,0.0,0.1194629040103174,0.0033061325739638004
2021-11-24,18,1265.1818181818182,3722.909090909091,9.35023243244058,11.673025323356583,5.666666666666667,0.11018223863950312,0.7192951938523877,5827.154233106314,0.7212577174109315,0.0,0.2510175032287192,0.02772473106258789
2021-11-24,17,1205.909090909091,3594.7727272727275,9.890129501402187,13.3133952417391,5.666666666666667,0.11018223863950312,0.7192951938523877,5785.9447107916785,0.6796213718849972,0.0,0.25980116390110336,0.0605774287296774
2021-11-24,16,1378.090909090909,3998.363636363637,9.368164619805205,11.714890784907285,7.0,0.11018223863950312,0.7192951938523877,6270.990418345305,0.7241549489236616,0.0,0.24750026862650976,0.02834475363073409
2021-11-24,15,1366.9545454545455,3844.363636363637,10.065912804320394,13.40125178200917,7.0,0.11018223863950312,0.7192951938523877,6245.525548156987,0.68818615556213,0.0,0.2537050856071462,0.0581087215987446
2021-11-24,14,1351.7272727272727,3707.0,10.899385989697508,15.23840906666805,7.0,0.11018223863950312,0.7192951938523877,6289.404320744817,0.6409477894670202,0.0,0.2621609411724303,0.09689124177055426
2021-11-24,13,1276.9545454545455,3495.0454545454545,11.390135158049684,15.09656035740672,7.0,0.11018223863950312,0.7192951938523877,5784.860453345069,0.6736182041508428,0.0,0.2549984997449737,0.07138321979211794
2021-11-24,12,1212.090909090909,3871.0,8.32506646946179,9.89716471320595,5.416666666666667,0.11018223863950312,0.7192951938523877,5619.872237674464,0.8131683484826238,0.0,0.1742375170243448,0.012594089094998932
2021-11-24,11,1104.590909090909,3642.045454545456,10.439070894374458,12.152874124034671,2.7916666666666665,0.11018223863950312,0.7192951938523877,5497.754236734924,0.7300140981768598,0.0017231401485756056,0.25331512608788703,0.0149475802866537
2021-11-24,10,1172.3636363636365,3617.272727272728,8.469845911576506,12.339743694997772,2.7291666666666665,0.11018223863950312,0.7192951938523877,6142.163344901832,0.5691832907204731,0.008639240788243489,0.3674878809825187,0.05468953933218512
