Date,Hour,HOV Flow,Ordinary Flow,HOV Travel Time,Ordinary Travel Time,Avg_total_toll
2021-07-17,18,1343.2727272727273,4926.863636363636,0.1055468137488834,0.1147815671141003,
2021-07-17,19,1172.4545454545455,4556.727272727273,0.1007985534122096,0.1106914943042074,
2021-07-17,20,1054.3181818181818,4132.0,0.1009014464757096,0.110843657970373,
2021-07-17,21,1052.5,4089.272727272728,0.0987705166800923,0.1093973296199918,
2021-07-17,22,915.2272727272727,3713.636363636364,0.0974488660760282,0.1075859726125596,
2021-07-17,23,601.0454545454545,2685.1363636363635,0.097202076827821,0.1069514667652643,
2021-07-18,0,367.0,1848.6818181818185,0.0967667272625048,0.107738386879133,
2021-07-18,1,214.72727272727272,1259.409090909091,0.0968051100617399,0.1074097766286269,
2021-07-18,2,144.6818181818182,943.5,0.0968609915609062,0.1075762536031937,
2021-07-18,3,119.27272727272728,799.5,0.0968952821446585,0.1075328634739328,
2021-07-18,4,120.8181818181818,835.6363636363636,0.0967398879639174,0.107498189531551,
2021-07-18,5,195.77272727272728,1129.409090909091,0.0968617431760848,0.1073211111585825,
2021-07-18,6,343.6818181818182,1777.3181818181818,0.0969956043597267,0.1074705894124583,
2021-07-18,7,446.4090909090909,2216.318181818182,0.0968122786139987,0.1074919192577589,
2021-07-18,8,638.6818181818181,2901.1363636363635,0.0983085236556629,0.1098942964358238,
2021-07-18,9,923.4545454545456,3801.727272727273,0.0992198171027863,0.109953840646846,
2021-07-18,10,1194.1818181818182,4626.181818181818,0.1016487766868251,0.1132313508295704,
2021-07-18,11,1322.6363636363635,5016.454545454545,0.1053103960985394,0.1164372232654575,
2021-07-18,12,1442.4545454545455,5230.181818181818,0.1072007632283166,0.1181109186822183,
2021-07-18,13,1447.5,5234.545454545455,0.1091580482401997,0.1202880307826802,
2021-07-18,14,1488.9545454545455,5226.272727272727,0.1118494367910503,0.1232869915523974,
2021-07-18,15,1405.5454545454545,5121.681818181818,0.10753749043741,0.1187661537005174,
2021-07-18,16,1294.7727272727273,4867.136363636364,0.1055704503855265,0.1172979873640931,
2021-07-18,17,1236.0,4691.772727272727,0.102924997801583,0.1140832660819971,
2021-07-18,18,1173.7727272727273,4519.181818181818,0.1015252814522354,0.1132553436045773,
2021-07-18,19,1076.909090909091,4197.590909090909,0.1004096504647071,0.1111584600935393,
2021-07-18,20,1015.9545454545456,3912.181818181818,0.1018711131031403,0.1129040498027293,
2021-07-18,21,903.2272727272727,3633.863636363637,0.0979642284700554,0.1084222606987542,
2021-07-18,22,623.4545454545455,2693.7727272727275,0.0973518014139442,0.1072958638431625,
2021-07-18,23,356.3181818181818,1783.2272727272727,0.0973418593709125,0.1078485508850573,
2021-07-19,0,196.8636363636364,1169.0454545454545,0.0971804866911002,0.1086170725594152,
2021-07-19,1,117.0909090909091,805.3181818181819,0.0972780527033788,0.1089923534228775,
2021-07-19,2,111.95454545454544,776.4545454545455,0.0981624961563148,0.1103805599013467,
2021-07-19,3,134.86363636363637,919.318181818182,0.0975558922466243,0.1093136604919449,
2021-07-19,4,279.45454545454544,1495.7272727272727,0.0996457772488215,0.1131245982404204,
2021-07-19,5,585.1818181818181,2815.318181818182,0.1005077164088795,0.1140372409218687,0.75
2021-07-19,6,974.2727272727273,4129.136363636364,0.1067469812311469,0.1222491698655211,0.9375
2021-07-19,7,1101.090909090909,4604.681818181818,0.1103925408321006,0.1299897547304613,1.0625
2021-07-19,8,1110.5454545454545,4658.5,0.1215611659728024,0.1482553481823166,1.2083333333333333
2021-07-19,9,1003.2272727272727,4388.409090909091,0.1227150739729868,0.149666058420724,1.0625
2021-07-19,10,1034.5454545454545,4536.363636363636,0.1231588149259651,0.1566787000431561,1.0625
2021-07-19,11,1035.6818181818182,4630.181818181818,0.1160485872052324,0.1450723344934344,1.1041666666666667
2021-07-19,12,1098.590909090909,4583.227272727273,0.1257870260847736,0.1585569899151959,1.625
2021-07-19,13,1178.409090909091,4609.272727272727,0.1348125338932476,0.1716989663773915,2.708333333333333
2021-07-19,14,1269.8181818181818,4567.545454545455,0.1548946728655755,0.2114741578414482,3.3125
2021-07-19,15,1309.8636363636365,4806.954545454545,0.1556496306258448,0.2066845664451746,4.635714285714286
2021-07-19,16,1339.2727272727273,5025.227272727273,0.1376942169060362,0.1700805168740281,4.914285714285715
2021-07-19,17,1379.2272727272727,5142.136363636364,0.1376849343353467,0.1672065337266268,5.0
2021-07-19,18,1275.0,4955.590909090909,0.1259365221518703,0.1531766473242959,4.1875
2021-07-19,19,968.7272727272727,4430.454545454545,0.1057764820893937,0.1198869996994152,1.1136363636363635
2021-07-19,20,857.5,3654.181818181818,0.1011581555771302,0.1147889825294444,
2021-07-19,21,718.3181818181819,3144.3636363636365,0.0992297534380727,0.1117474706342873,
2021-07-19,22,537.6363636363636,2496.0,0.0986438942780869,0.1115147920916968,
2021-07-19,23,347.95454545454544,1839.409090909091,0.0977065962492861,0.1101645810882776,
2021-07-20,0,210.1818181818182,1214.7727272727273,0.0974297825388227,0.1088813966013593,
2021-07-20,1,136.0909090909091,923.1363636363636,0.0971935983144881,0.1087530985525786,
2021-07-20,2,121.04545454545456,859.7727272727273,0.0973993614448992,0.1090474884518101,
2021-07-20,3,155.9090909090909,1027.5,0.0973193378627882,0.1083907611965841,
