Hour,Origin,Destination,Demand
8,3420 - Auto Mall NB,3430 - Mowry NB,93.56095417376112
8,3420 - Auto Mall NB,3440 - Decoto/84 NB,350.4638026385335
8,3420 - Auto Mall NB,3450 - Whipple NB,1.0
8,3420 - Auto Mall NB,3460 - Hesperian/238 NB,3364.179697199447
8,3430 - Mowry NB,3430 - Mowry NB,3.907538976923817
8,3430 - Mowry NB,3440 - Decoto/84 NB,14.648353147379957
8,3430 - Mowry NB,3450 - Whipple NB,1.0
8,3430 - Mowry NB,3460 - Hesperian/238 NB,139.9160256839154
8,3440 - Decoto/84 NB,3440 - Decoto/84 NB,16.90793650793651
8,3440 - Decoto/84 NB,3450 - Whipple NB,1.0
8,3440 - Decoto/84 NB,3460 - Hesperian/238 NB,162.1783658315755
8,3450 - Whipple NB,3450 - Whipple NB,1.0
8,3450 - Whipple NB,3460 - Hesperian/238 NB,395.5872146118722
8,3460 - Hesperian/238 NB,3460 - Hesperian/238 NB,329.13718924403855
9,3420 - Auto Mall NB,3420 - Auto Mall NB,329.45714285714286
9,3420 - Auto Mall NB,3430 - Mowry NB,96.50523586127568
9,3420 - Auto Mall NB,3440 - Decoto/84 NB,366.9240190227212
9,3420 - Auto Mall NB,3450 - Whipple NB,1.0
9,3420 - Auto Mall NB,3460 - Hesperian/238 NB,3334.6906198713846
9,3430 - Mowry NB,3430 - Mowry NB,3.813942220916104
9,3430 - Mowry NB,3440 - Decoto/84 NB,14.501098655197467
9,3430 - Mowry NB,3450 - Whipple NB,1.0
9,3430 - Mowry NB,3460 - Hesperian/238 NB,131.9287947403248
9,3440 - Decoto/84 NB,3440 - Decoto/84 NB,16.121914285551668
9,3440 - Decoto/84 NB,3450 - Whipple NB,1.0
9,3440 - Decoto/84 NB,3460 - Hesperian/238 NB,146.4123322897908
9,3450 - Whipple NB,3450 - Whipple NB,1.0
9,3450 - Whipple NB,3460 - Hesperian/238 NB,392.6191780821918
9,3460 - Hesperian/238 NB,3460 - Hesperian/238 NB,326.6151192288179
10,3420 - Auto Mall NB,3420 - Auto Mall NB,330.30195694716247
10,3420 - Auto Mall NB,3430 - Mowry NB,102.37859189935604
10,3420 - Auto Mall NB,3440 - Decoto/84 NB,391.24905148907476
10,3420 - Auto Mall NB,3450 - Whipple NB,1.0
10,3420 - Auto Mall NB,3460 - Hesperian/238 NB,3376.9689515235063
10,3430 - Mowry NB,3430 - Mowry NB,4.246065634890545
10,3430 - Mowry NB,3440 - Decoto/84 NB,16.185580525153092
10,3430 - Mowry NB,3450 - Whipple NB,1.0
10,3430 - Mowry NB,3460 - Hesperian/238 NB,140.0594497303673
10,3440 - Decoto/84 NB,3440 - Decoto/84 NB,17.78728579399133
10,3440 - Decoto/84 NB,3450 - Whipple NB,1.0
10,3440 - Decoto/84 NB,3460 - Hesperian/238 NB,152.42024845258402
10,3450 - Whipple NB,3450 - Whipple NB,1.0
10,3450 - Whipple NB,3460 - Hesperian/238 NB,412.44200913242014
10,3460 - Hesperian/238 NB,3460 - Hesperian/238 NB,352.4166412988331
11,3420 - Auto Mall NB,3420 - Auto Mall NB,358.14735812133074
11,3420 - Auto Mall NB,3430 - Mowry NB,114.94585110178
11,3420 - Auto Mall NB,3440 - Decoto/84 NB,429.3061614725688
11,3420 - Auto Mall NB,3450 - Whipple NB,1.0
11,3420 - Auto Mall NB,3460 - Hesperian/238 NB,3560.089897406082
11,3430 - Mowry NB,3430 - Mowry NB,5.107573555754257
11,3430 - Mowry NB,3440 - Decoto/84 NB,18.998272147465205
11,3430 - Mowry NB,3450 - Whipple NB,1.0
11,3430 - Mowry NB,3460 - Hesperian/238 NB,157.55922278993123
11,3440 - Decoto/84 NB,3440 - Decoto/84 NB,19.254470489555064
11,3440 - Decoto/84 NB,3450 - Whipple NB,1.0
11,3440 - Decoto/84 NB,3460 - Hesperian/238 NB,159.7592281405819
11,3450 - Whipple NB,3450 - Whipple NB,1.0
11,3450 - Whipple NB,3460 - Hesperian/238 NB,436.8054794520548
11,3460 - Hesperian/238 NB,3460 - Hesperian/238 NB,371.69020801623543
12,3420 - Auto Mall NB,3420 - Auto Mall NB,395.65714285714284
12,3420 - Auto Mall NB,3430 - Mowry NB,131.2973327159939
12,3420 - Auto Mall NB,3440 - Decoto/84 NB,469.98502996096073
12,3420 - Auto Mall NB,3450 - Whipple NB,1.0
12,3420 - Auto Mall NB,3460 - Hesperian/238 NB,3799.102983702692
12,3430 - Mowry NB,3430 - Mowry NB,6.027324818252677
12,3430 - Mowry NB,3440 - Decoto/84 NB,21.560686350622547
12,3430 - Mowry NB,3450 - Whipple NB,1.0
12,3430 - Mowry NB,3460 - Hesperian/238 NB,174.4482902009878
12,3440 - Decoto/84 NB,3440 - Decoto/84 NB,21.029626154170188
12,3440 - Decoto/84 NB,3450 - Whipple NB,1.0
12,3440 - Decoto/84 NB,3460 - Hesperian/238 NB,169.564894393775
12,3450 - Whipple NB,3450 - Whipple NB,1.0
12,3450 - Whipple NB,3460 - Hesperian/238 NB,453.2036529680366
12,3460 - Hesperian/238 NB,3460 - Hesperian/238 NB,399.61968543886354
13,3420 - Auto Mall NB,3420 - Auto Mall NB,409.29706457925636
13,3420 - Auto Mall NB,3430 - Mowry NB,134.07879806227677
13,3420 - Auto Mall NB,3440 - Decoto/84 NB,468.71745136943383
13,3420 - Auto Mall NB,3450 - Whipple NB,1.0
13,3420 - Auto Mall NB,3460 - Hesperian/238 NB,3985.94537092054
13,3430 - Mowry NB,3430 - Mowry NB,5.988325225394438
13,3430 - Mowry NB,3440 - Decoto/84 NB,21.03131223669213
13,3430 - Mowry NB,3450 - Whipple NB,1.0
13,3430 - Mowry NB,3460 - Hesperian/238 NB,178.5652940447627
13,3440 - Decoto/84 NB,3440 - Decoto/84 NB,20.3726975810887
13,3440 - Decoto/84 NB,3450 - Whipple NB,1.0
13,3440 - Decoto/84 NB,3460 - Hesperian/238 NB,173.5622339257606
13,3450 - Whipple NB,3450 - Whipple NB,1.0
13,3450 - Whipple NB,3460 - Hesperian/238 NB,434.69223744292236
13,3460 - Hesperian/238 NB,3460 - Hesperian/238 NB,417.282800608828
14,3420 - Auto Mall NB,3420 - Auto Mall NB,423.54363992172216
14,3420 - Auto Mall NB,3430 - Mowry NB,140.01586851545267
14,3420 - Auto Mall NB,3440 - Decoto/84 NB,485.35916518829436
14,3420 - Auto Mall NB,3450 - Whipple NB,1.0
14,3420 - Auto Mall NB,3460 - Hesperian/238 NB,4224.011095454765
14,3430 - Mowry NB,3430 - Mowry NB,5.6074191557802
14,3430 - Mowry NB,3440 - Decoto/84 NB,19.447964796719823
14,3430 - Mowry NB,3450 - Whipple NB,1.0
14,3430 - Mowry NB,3460 - Hesperian/238 NB,168.97064344476024
14,3440 - Decoto/84 NB,3440 - Decoto/84 NB,21.408395129140988
14,3440 - Decoto/84 NB,3450 - Whipple NB,1.0
14,3440 - Decoto/84 NB,3460 - Hesperian/238 NB,186.80187884346176
14,3450 - Whipple NB,3450 - Whipple NB,1.0
14,3450 - Whipple NB,3460 - Hesperian/238 NB,410.2127853881278
14,3460 - Hesperian/238 NB,3460 - Hesperian/238 NB,427.2633181126332
15,3420 - Auto Mall NB,3420 - Auto Mall NB,411.5590998043053
15,3420 - Auto Mall NB,3430 - Mowry NB,123.19450525372912
15,3420 - Auto Mall NB,3440 - Decoto/84 NB,494.9945415018476
15,3420 - Auto Mall NB,3450 - Whipple NB,1.0
15,3420 - Auto Mall NB,3460 - Hesperian/238 NB,4266.502906277691
15,3430 - Mowry NB,3430 - Mowry NB,4.668508444901018
15,3430 - Mowry NB,3440 - Decoto/84 NB,18.74251709294898
15,3430 - Mowry NB,3450 - Whipple NB,1.0
15,3430 - Mowry NB,3460 - Hesperian/238 NB,161.90130322927328
15,3440 - Decoto/84 NB,3440 - Decoto/84 NB,24.271160583285603
15,3440 - Decoto/84 NB,3450 - Whipple NB,1.0
15,3440 - Decoto/84 NB,3460 - Hesperian/238 NB,208.4945928413719
15,3450 - Whipple NB,3450 - Whipple NB,1.0
15,3450 - Whipple NB,3460 - Hesperian/238 NB,408.37716894977166
15,3460 - Hesperian/238 NB,3460 - Hesperian/238 NB,396.0632166412988
16,3420 - Auto Mall NB,3420 - Auto Mall NB,400.15929549902154
16,3420 - Auto Mall NB,3430 - Mowry NB,120.87566146994442
16,3420 - Auto Mall NB,3440 - Decoto/84 NB,496.1027067120791
16,3420 - Auto Mall NB,3450 - Whipple NB,1.0
16,3420 - Auto Mall NB,3460 - Hesperian/238 NB,4217.074046690775
16,3430 - Mowry NB,3430 - Mowry NB,4.548996064302153
16,3430 - Mowry NB,3440 - Decoto/84 NB,18.655062915993057
16,3430 - Mowry NB,3450 - Whipple NB,1.0
16,3430 - Mowry NB,3460 - Hesperian/238 NB,158.3973108827185
16,3440 - Decoto/84 NB,3440 - Decoto/84 NB,25.31894270069496
16,3440 - Decoto/84 NB,3450 - Whipple NB,1.0
16,3440 - Decoto/84 NB,3460 - Hesperian/238 NB,214.81324908012698
16,3450 - Whipple NB,3450 - Whipple NB,1.0
16,3450 - Whipple NB,3460 - Hesperian/238 NB,422.8675799086758
16,3460 - Hesperian/238 NB,3460 - Hesperian/238 NB,390.7139523084728
17,3420 - Auto Mall NB,3420 - Auto Mall NB,400.2450097847358
17,3420 - Auto Mall NB,3430 - Mowry NB,128.33702912192814
17,3420 - Auto Mall NB,3440 - Decoto/84 NB,507.83711932960114
17,3420 - Auto Mall NB,3450 - Whipple NB,1.0
17,3420 - Auto Mall NB,3460 - Hesperian/238 NB,4157.046642155124
