Hour,Segment,FR,ML,OR,In Flow,Main Flow,Out Flow
8,3460 - Hesperian/238 NB,232.99033037872684,4741.503626107978,329.13718924403855,329.13718924403855,4974.4939564867045,4974.4939564867045
9,3420 - Auto Mall N,329.45714285714286,3906.8010176125244,221.776,4128.577017612524,4128.577017612524,329.45714285714286
9,3430 - Mowry NB,100.31917808219178,3935.9856164383564,151.24383561643836,151.24383561643836,3935.9856164383564,100.31917808219178
9,3440 - Decoto/84 NB,397.5470319634703,4061.9529680365295,163.53424657534248,163.53424657534248,4061.9529680365295,397.5470319634703
9,3450 - Whipple NB,0.0,4590.461839530332,393.6191780821918,393.6191780821918,4590.461839530332,0.0
9,3460 - Hesperian/238 NB,233.55068493150685,4818.700832661832,326.6151192288179,326.6151192288179,5052.251517593339,5052.251517593339
10,3420 - Auto Mall N,330.30195694716247,3966.187866927593,235.71068493150685,4201.8985518591,4201.8985518591,330.30195694716247
10,3430 - Mowry NB,106.62465753424658,4162.042465753425,161.49109589041095,161.49109589041095,4162.042465753425,106.62465753424658
10,3440 - Decoto/84 NB,425.2219178082192,4367.508675799087,171.20753424657534,171.20753424657534,4367.508675799087,425.2219178082192
10,3450 - Whipple NB,0.0,4924.210958904109,413.44200913242014,413.44200913242014,4924.210958904109,0.0
10,3460 - Hesperian/238 NB,246.65801772763902,5097.009347300564,352.4166412988331,352.4166412988331,5343.667365028203,5343.667365028203
11,3420 - Auto Mall N,358.14735812133074,4194.012446183953,269.4768219178082,4463.489268101762,4463.489268101762,358.14735812133074
11,3430 - Mowry NB,120.05342465753425,4534.1801369863015,182.6650684931507,182.6650684931507,4534.1801369863015,120.05342465753425
11,3440 - Decoto/84 NB,467.55890410958904,4727.514611872146,180.013698630137,180.013698630137,4727.514611872146,467.55890410958904
11,3450 - Whipple NB,0.0,5233.269667318983,437.8054794520548,437.8054794520548,5233.269667318983,0.0
11,3460 - Hesperian/238 NB,258.90217566478645,5223.695997851195,371.69020801623543,371.69020801623543,5482.598173515981,5482.598173515981
12,3420 - Auto Mall N,395.65714285714284,4489.123365949119,307.9191232876712,4797.04248923679,4797.04248923679,395.65714285714284
12,3430 - Mowry NB,137.32465753424657,4986.648630136986,203.03630136986303,203.03630136986303,4986.648630136986,137.32465753424657
12,3440 - Decoto/84 NB,512.5753424657535,5118.012328767123,191.5945205479452,191.5945205479452,5118.012328767123,512.5753424657535
12,3450 - Whipple NB,0.0,5528.7667318982385,454.2036529680366,454.2036529680366,5528.7667318982385,0.0
12,3460 - Hesperian/238 NB,277.64415793714744,5299.244426537738,399.61968543886354,399.61968543886354,5576.888584474886,5576.888584474886
13,3420 - Auto Mall N,409.29706457925636,4676.814246575343,322.2244383561644,4999.038684931507,4999.038684931507,409.29706457925636
13,3430 - Mowry NB,140.06712328767122,5245.340410958904,206.5849315068493,206.5849315068493,5245.340410958904,140.06712328767122
13,3440 - Decoto/84 NB,510.12146118721466,5326.731506849315,194.93493150684932,194.93493150684932,5326.731506849315,510.12146118721466
13,3450 - Whipple NB,0.0,5659.249315068493,435.69223744292236,435.69223744292236,5659.249315068493,0.0
13,3460 - Hesperian/238 NB,287.28702659145847,5360.916142895514,417.282800608828,417.282800608828,5648.203169486973,5648.203169486973
14,3420 - Auto Mall N,423.54363992172216,4930.075851272016,343.85391780821914,5273.929769080235,5273.929769080235,423.54363992172216
14,3430 - Mowry NB,145.62328767123287,5597.11301369863,195.02602739726026,195.02602739726026,5597.11301369863,145.62328767123287
14,3440 - Decoto/84 NB,526.2155251141552,5603.644292237444,209.21027397260275,209.21027397260275,5603.644292237444,526.2155251141552
14,3450 - Whipple NB,0.0,5806.243444227006,411.2127853881278,411.2127853881278,5806.243444227006,0.0
14,3460 - Hesperian/238 NB,295.02288477034654,5419.68015041633,427.2633181126332,427.2633181126332,5714.703035186677,5714.703035186677
15,3420 - Auto Mall N,411.5590998043053,4960.296203522505,336.9548493150685,5297.251052837573,5297.251052837573,411.5590998043053
15,3430 - Mowry NB,127.86301369863014,5580.821917808219,186.3123287671233,186.3123287671233,5580.821917808219,127.86301369863014
15,3440 - Decoto/84 NB,538.0082191780822,5546.1123287671235,233.76575342465753,233.76575342465753,5546.1123287671235,538.0082191780822
15,3450 - Whipple NB,0.0,5644.687671232877,409.37716894977166,409.37716894977166,5644.687671232877,0.0
15,3460 - Hesperian/238 NB,272.3187751813054,5442.293150684932,396.0632166412988,396.0632166412988,5714.6119258662375,5714.6119258662375
16,3420 - Auto Mall N,400.15929549902154,4904.222778864971,330.9889315068493,5235.21171037182,5235.21171037182,400.15929549902154
16,3430 - Mowry NB,125.42465753424658,5528.533561643836,182.6013698630137,182.6013698630137,5528.533561643836,125.42465753424658
16,3440 - Decoto/84 NB,540.0767123287671,5462.4342465753425,241.13219178082193,241.13219178082193,5462.4342465753425,540.0767123287671
16,3450 - Whipple NB,0.0,5731.507240704501,423.8675799086758,423.8675799086758,5731.507240704501,0.0
16,3460 - Hesperian/238 NB,267.4214343271555,5418.280687617513,390.7139523084728,390.7139523084728,5685.702121944668,5685.702121944668
17,3420 - Auto Mall N,400.2450097847358,4857.340430528376,337.1253698630137,5194.465800391389,5194.465800391389,400.2450097847358
17,3430 - Mowry NB,133.57123287671232,5552.5698630136985,195.26575342465753,195.26575342465753,5552.5698630136985,133.57123287671232
17,3440 - Decoto/84 NB,553.9771689497717,5500.5771689497715,235.94452054794522,235.94452054794522,5500.5771689497715,553.9771689497717
17,3450 - Whipple NB,0.0,5711.409784735812,436.4283105022831,436.4283105022831,5711.409784735812,0.0
17,3460 - Hesperian/238 NB,267.7307010475423,5327.616599516519,388.0397767630644,388.0397767630644,5595.347300564062,5595.347300564062
18,3420 - Auto Mall N,354.2645792563601,4438.345831702544,305.152,4743.497831702544,4743.497831702544,354.2645792563601
18,3430 - Mowry NB,136.17945205479452,5285.346575342466,190.2253424657534,190.2253424657534,5285.346575342466,136.17945205479452
18,3440 - Decoto/84 NB,503.3095890410959,5307.300913242009,200.64520547945204,200.64520547945204,5307.300913242009,503.3095890410959
18,3450 - Whipple NB,0.0,5592.487671232877,394.2255707762557,394.2255707762557,5592.487671232877,0.0
18,3460 - Hesperian/238 NB,259.3453666398066,5065.838624764974,348.8357179096905,348.8357179096905,5325.1839914047805,5325.1839914047805
19,3420 - Auto Mall N,276.7407045009785,3815.273581213307,260.6442739726028,4075.9178551859095,4075.9178551859095,276.7407045009785
19,3430 - Mowry NB,120.68356164383562,4642.447945205479,180.93287671232878,180.93287671232878,4642.447945205479,120.68356164383562
19,3440 - Decoto/84 NB,426.551598173516,4726.491780821918,138.53493150684932,138.53493150684932,4726.491780821918,426.551598173516
19,3450 - Whipple NB,0.0,5059.324070450098,340.25114155251146,340.25114155251146,5059.324070450098,0.0
19,3460 - Hesperian/238 NB,231.64931506849314,4531.4281493419285,303.3534246575342,303.3534246575342,4763.077464410421,4763.077464410421
20,3420 - Auto Mall N,213.26418786692759,3201.7535029354203,200.3571506849315,3402.110653620352,3402.110653620352,213.26418786692759
