Date,Equi 0,Target 0,Equi 1,Target 1,Equi 2,Target 2
2021-03-01,8147.009107803728,5962.748700386352,3198.2381080239757,3555.8785353216786,12989.540583720656,14816.160563840327
2021-03-02,11794.238054910134,7078.698128544768,3862.994281072778,4242.200501139708,12679.306474140503,17015.640180438924
2021-03-03,7019.358345191102,7259.713370824036,4414.9752756316475,4183.075322423984,17786.802217583,17778.347145157724
2021-03-04,8438.747049930127,8385.261306247457,4943.660435869397,4804.943040026795,19726.24084305208,19918.443982577373
2021-03-05,10802.030452908491,9418.465739530056,5165.845981812067,5580.897507229974,22133.560310529432,23102.073498489943
2021-03-08,3811.1388313336224,5036.896605769307,3784.1464103297612,3057.4360365490784,13307.57612762409,12808.528726969183
2021-03-09,6550.714033844668,5621.904475908671,3795.851207281238,3261.3460521204497,12272.551161660027,13735.86587475681
2021-03-10,3173.3128650860076,3959.3921499430594,2718.36438602648,2355.599586014835,10242.681916532038,9819.367431686642
2021-03-11,6170.90485855966,7285.210248218863,4804.5355909321515,4450.030512393988,18974.19770432932,18214.397393208194
2021-03-12,9975.847699520087,10334.237190044827,6275.492896387335,6170.426908295167,25428.12243546963,25174.798933037095
2021-03-15,2312.1930462177847,5990.232931850451,5594.855002948896,3533.6622070011995,17201.690622713555,15584.843533028588
2021-03-16,10814.15059934568,8936.733199666764,5896.390921981179,5153.886816587494,19066.355735576155,21686.27724064877
2021-03-17,9532.904955474576,9175.631637313907,5815.435917128494,5517.4269618584085,22595.94901521472,23251.231288645493
2021-03-18,10652.663994725079,9169.159627692678,5363.15998716946,5404.283298258577,20917.191368473832,22359.572424417114
2021-03-19,5862.741043507962,6309.0539697661725,3118.5315872387127,3885.204229888465,16987.258783110392,15774.273214202438
2021-03-22,4647.237229993119,5304.660052497975,3045.8605711157443,3247.9266398799546,14480.131708736493,13620.642817467431
2021-03-23,7035.815522254579,8570.058967322335,5224.997749063508,4992.508166327386,21829.856106205003,20528.102243873465
2021-03-24,6170.581390046799,7236.416781501475,5521.207864388798,4201.353312146399,17578.02098248013,17832.04014326786
2021-03-25,7091.277684177359,7930.731279581299,5476.344272313972,4697.403427165542,19683.981790032234,19623.46903977673
2021-03-26,10168.552337177505,8427.504801600697,4837.169883062803,5126.694538608159,19676.566594949283,21128.089474980752
2021-03-29,7019.981125513582,7801.725866998732,5425.71890063156,4636.635933032533,19762.255141894904,19769.59336800879
2021-03-30,8875.20728366999,9843.027402520373,6465.368414073287,5770.797109416063,24364.16171298323,24090.912898790117
2021-04-01,1766.9594970529345,8764.141407239742,7519.22696847023,5292.587429168557,26561.091056675457,21790.548685790316
2021-04-02,7849.778193133551,7494.582545738001,4110.858668952455,4513.935740903743,20013.616543613774,19965.735119058085
2021-04-05,3577.2349679606477,4830.75283111214,2475.407581610261,2922.1347439111646,14875.226064385366,13174.981038932969
2021-04-06,2956.5362822637585,6515.510008306975,4438.924008448164,3775.1942106478828,19738.418098825772,16843.17417058286
2021-04-07,7517.745322973029,8548.056971071821,4867.662927749074,5064.306173173988,23844.94715018636,22617.992256662637
2021-04-08,3443.3792004887523,7888.569216164356,5097.586933465793,4581.155678455116,24930.860415762843,21002.1016550979
2021-04-09,5837.6341054296445,6841.352649302148,3500.3726766946143,4134.006092222423,20187.15182814946,18549.799868749113
2021-04-12,3768.7711278747875,4116.034395827587,2342.7081783673575,2520.9904839666124,12007.418787203504,11481.873213651434
2021-04-13,7606.55977902055,6848.419846441908,3514.9312324916455,3961.637596131327,17442.71658464514,17754.15015358411
2021-04-14,11085.785360024582,9945.300638573071,5156.82570632481,5805.677245337068,25374.720253488333,25866.353435927584
2021-04-15,5094.576894512601,7462.341964388476,4625.380174635269,4324.653209412751,21560.838140128548,19493.800035475182
2021-04-16,10520.662613253544,7745.370032570672,3770.699314678331,4720.5055183047525,18564.22395368392,20389.710330740352
2021-04-19,4476.42184713771,4368.901600194734,2668.4081161146737,2671.7908239266844,11940.148320212269,12044.285859343227
2021-04-20,9111.158981244389,7669.828565301862,3863.2180704889643,4508.6371692047005,19203.52845116401,19999.439768390894
2021-04-21,2006.3625603425683,4279.314756798381,3072.136928923949,2601.2091331252354,13566.795403919848,11764.77100326275
2021-04-22,8355.081538443974,7192.730197616352,3817.119663426557,4325.361410732989,18772.426707754654,19426.536301275857
2021-04-29,1707.8476916781838,4330.637737405804,2535.456844277237,2557.765036187761,13846.976379797072,11201.878142158923
2021-04-30,6660.3724197356705,6971.324142738307,4041.6866728775826,4285.480151189413,18966.21186110575,18411.466659791284
2021-05-03,5850.107656216846,4848.235145148719,2787.8420980340884,2953.116350370769,12385.058041432654,13221.656300164115
2021-05-04,8981.537842958132,6992.836616461153,3581.1154581716046,4122.122687609763,16874.66920784759,18322.363204906404
2021-05-05,2664.1438143890346,5362.725359182016,2935.690565199141,3227.5434154128284,17605.02925284431,14614.594857837645
2021-05-06,6475.723845539358,7241.606730004604,3788.4977147239615,4306.915776702694,20235.651629342603,18951.350682898636
2021-05-07,6378.7896692985105,6401.793606088535,3604.9197385608586,3897.1497441651504,17391.470035840146,17076.236093445827
2021-05-10,4026.8049399925126,5269.4844554309775,2944.7375862653603,3208.901547406387,16779.68108794686,15272.83761136737
2021-05-11,7069.272186301936,6022.27545662826,3593.9426970043887,3487.3637940771555,15137.324367042587,16290.899999643498
2021-05-12,4763.33933666501,6129.042761531941,4243.8421514937145,3719.7328100019045,17138.874592779965,16297.28050940484
2021-05-13,3449.2125692929862,6121.848931231239,3612.241528268322,3577.4434145077826,19434.154956663573,16796.31670848586
2021-05-14,7411.328575970758,5839.467300664685,3131.5522755407537,3612.8480637981143,15273.16491266229,16363.730399711003
2021-05-17,7495.260820884821,6208.084917213445,2781.791935105318,3707.4425626531,16916.299491281025,17277.824767404618
2021-05-18,8591.547141021798,6385.568561239864,3385.117985599824,3842.086398841634,15726.455118232061,17475.46528477218
2021-05-19,7182.696031962854,6735.525296855803,4370.586825947319,3950.2304084027046,17407.014168037058,18274.54132068872
2021-05-20,10809.341975797663,6203.666203486171,2841.715108160298,3688.902647355768,12894.022532790943,16652.510765906965
2021-05-21,13490.63059385998,8386.577847094462,3696.713176616764,5195.984757102854,19571.74104371554,23176.522209994968
2021-05-24,9457.682123071947,5814.376515113629,3198.5220808707377,3501.553404522527,13275.838002166693,16616.112286473217
2021-05-25,11559.835371319054,7369.824197615032,3765.0926239341356,4406.429837734673,17161.445857444058,20710.119817347542
2021-05-26,8306.461422196271,6394.415124984538,3445.7038256057504,3791.937243077687,15487.388865140703,17053.201744880498
2021-05-27,13894.947367915971,9253.417912960991,3873.081799383474,5340.1404138919925,20736.86335262136,23911.334193067818
2021-05-28,12413.735398261391,6921.107552518381,3922.2218990235015,4269.58573619643,14864.740820139528,20010.004828709603
