Rho,Loss,Total Travel Time,Total Emission,Total Revenue,Total Utility Cost,Toll 0,Toll 1,Toll 2,Toll 3,Toll 4
0.5,0.006064282081940462,3725155.621837804,3725093.1089824643,1037.1630197644165,4657089.845718554,0.0,0.0,0.0,1.0,0.0
0.75,0.007540224671771922,3723352.6445811754,3723289.768979731,1577.6205583928793,4482333.873447446,0.0,0.0,0.0,1.0,0.0
0.25,0.0016237973731246832,2651954.8571949904,2441303.0808678586,298.0232886815721,3236199.726067375,0.0,0.0,0.0,1.0,1.0
0.5,0.00481494461484633,1856427.61252231,1560171.8152740572,8981.58612612455,2203581.5925988336,0.0,0.0,0.0,1.0,1.0
0.75,0.007681181115272222,1470032.930112374,1166140.8254854258,8958.241661895205,1740398.6331532113,0.0,0.0,0.0,1.0,1.0
0.25,0.0019852322209221707,1562360.5274599097,1260196.577782162,298.0232886815721,1863058.8168852108,0.0,0.0,0.0,1.0,2.0
0.5,0.004908123695899226,712007.6792212797,483143.7060954293,4381.884542471558,810813.7464176473,0.0,0.0,0.0,1.0,2.0
0.75,0.004500822166966612,576331.1871827749,379163.9514510427,6130.740515449444,644750.4094003101,0.0,0.0,0.0,1.0,2.0
0.25,0.004458684431369285,1253090.1015679194,956472.4701967348,4457.037659891007,1480577.7960272334,0.0,0.0,0.0,1.0,3.0
0.5,0.00491729942318584,511626.04961949505,330617.33902425744,2466.3523194824825,564481.6965963852,0.0,0.0,0.0,1.0,3.0
0.75,0.0009302046334797882,413486.7548315787,264481.9271409799,6277.092468230777,443220.0982199622,0.0,0.0,0.0,1.0,3.0
0.25,0.004079896274366525,938431.7084566955,673667.6857268579,397.3643849087633,1085614.9759036258,0.0,0.0,0.0,1.0,4.0
0.5,0.004916133291416515,439884.31413646875,280337.3210383083,1037.1630197644165,476341.6855201173,0.0,0.0,0.0,1.0,4.0
0.75,0.0009216728596657388,343567.34618232155,220454.709646445,4499.548452522219,356232.7647479085,0.0,0.0,0.0,1.0,4.0
0.25,0.0016018640049614537,934165.1041153051,666153.1991659399,298.0232886815722,1087691.7945035985,0.0,0.0,0.0,1.0,5.0
0.5,0.004916133259332942,439884.2617118084,280337.0730950342,1037.1630197644165,476341.84928537515,0.0,0.0,0.0,1.0,5.0
0.75,0.004504145389620142,318624.238851362,205545.861188719,2977.333461107525,325658.6243213065,0.0,0.0,0.0,1.0,5.0
0.25,0.0069250897140868935,3724936.8458347423,3724832.065299183,24.835274056797786,4437004.389012569,0.0,0.0,0.0,2.0,0.0
0.5,0.006062191461876759,3728215.712555531,3727827.1863113046,620.881851419948,4662775.043021525,0.0,0.0,0.0,2.0,0.0
0.75,0.0013221632509271691,3726790.825159229,3725980.783459527,2146.5970651699836,4459648.269328559,0.0,0.0,0.0,2.0,0.0
0.25,0.0016238132138113705,2653076.0895195203,2442382.9952887925,24.83527405679779,3236831.227381318,0.0,0.0,0.0,2.0,1.0
0.5,0.006396158220849958,1843752.8388609835,1553359.1197146792,620.881851419948,2277477.0022413023,0.0,0.0,0.0,2.0,1.0
0.75,0.004639100188153529,1447587.5102776368,1148914.6160748752,10091.020171530112,1686117.0815249158,0.0,0.0,0.0,2.0,1.0
0.25,0.0019852785208413423,1563481.545813492,1261276.2717790627,24.835274056797786,1863689.865340302,0.0,0.0,0.0,2.0,2.0
0.5,0.003753149126155147,706950.5316679489,479061.4719297888,3742.5582661815615,802637.1736687685,0.0,0.0,0.0,2.0,2.0
0.75,0.0115223973363513,579103.5490323594,381363.92422936705,6572.494034073783,647198.0883596322,0.0,0.0,0.0,2.0,2.0
0.25,0.0044587182752633065,1254209.8303209736,957550.8768982727,4183.849645266232,1481208.1075224672,0.0,0.0,0.0,2.0,3.0
0.5,0.005538621101453879,510101.21572784754,330143.99384186894,2177.2941392907765,560194.3119029013,0.0,0.0,0.0,2.0,3.0
0.75,0.0008647304924346054,415265.12803219625,266795.3173389075,6178.388448226656,442391.9918554471,0.0,0.0,0.0,2.0,3.0
0.25,0.00407830088309245,939559.507404498,674754.1576974825,124.17637028399064,1086249.074410889,0.0,0.0,0.0,2.0,4.0
