rho,tau,x1,x2,x3,loss,regime,congestion,revenue
0.75,2.5,0.4183975362955259,0.2513403491580741,0.33026211454640003,1.7101485481216147e-08,B,23.749728601847252,120.42527088425973
0.75,3.0,0.36474879843780167,0.2969246395313405,0.33832656203085776,8.66609941787065e-10,B,23.88518739830068,125.9805874924323
0.75,3.5,0.3140405549904638,0.3408768824962915,0.3450825625132447,3.85143086815926e-17,B,24.019194384868328,126.54421183618234
0.75,4.0,0.26612194896926744,0.3830609744846337,0.35081707654609884,6.233392671013889e-09,B,24.148806157519385,122.55447993932704
0.75,4.5,0.22100733452747648,0.4233261436248063,0.35566652184771724,4.336586816978888e-08,B,24.270274875599014,114.50058490866765
0.75,5.0,0.17893201291661542,0.4616100107638461,0.35945797631953846,3.8560555497062264e-08,B,24.37204392085728,103.00221323544966
0.75,5.5,0.13975257311097772,0.4974778304220755,0.36276959646694684,1.2043225281948358e-08,B,24.467470818808334,88.49342558246775
0.75,6.0,0.10383514837926262,0.5307527225688939,0.3654121290518434,3.335325300860876e-10,B,24.547392848927785,71.72724379742704
0.75,6.5,0.07147114671331002,0.5611041512121717,0.3674247020745183,4.644521470761201e-09,B,24.61038032546589,53.48507528717199
0.75,7.0,0.04308504385346006,0.5882976534871103,0.3686173026594297,2.3947363835143945e-07,B,24.64760001502869,34.722667691942
0.75,7.5,0.01901557242205079,0.6113667931653809,0.36961763441256834,2.841305313764614e-09,B,24.679889731275022,16.41947139713031
0.75,8.0,0.0,0.6301922935369106,0.36980770646308936,4.952895766164118e-09,A2,24.684377791260708,0.0
0.75,8.5,0.0,0.6302138398397457,0.36978616016025434,1.1190073133129963e-08,A2,24.683601486072043,0.0
0.75,9.0,0.0,0.6302225482268898,0.36977745177311017,1.4421850118794953e-08,A2,24.68328777771319,0.0
0.75,9.5,0.0,0.6302271597812802,0.3697728402187198,1.6298923757640132e-08,A2,24.683121664462384,0.0
